Unknown system 'a2video_comp'

"a2video_comp" approximately matches the following
supported machines (best match first):

videopacp         Videopac+ G7400 (Europe)                                     (Philips, 1983)
avigo_de          TI Avigo 10 PDA (German)                                     (Texas Instruments, 1997)
segaai            AI                                                           (Sega, 1986)
animechmp         Anime Champ (GCA07 VER. JAA)                                 (Konami, 2000)
videocba          Video Cordoba                                                (InterFlip, 1987)
videomat          Videomat (Polish bootleg)                                    (bootleg, 1990)
videopac          Videopac G7000 (Europe)                                      (Philips, 1978)
h21               Video Computer H-21                                          (TRQ, 1982)
avigo             TI Avigo 10 PDA                                              (Texas Instruments, 1997)
videopacf         Videopac C52 (France)                                        (Philips, 1979)
iemotom           Iemoto (Japan 871118, medal)                                 (Nichibutsu, 1987)
mhavocp           Major Havoc (prototype)                                      (Atari, 1983)
raidenm           Raiden (Modular System)                                      (bootleg (Gaelco / Ervisa), 1990)
videodad          Video Dado                                                   (InterFlip, 1987)
divebomb          Kyuukoukabakugekitai - Dive Bomber Squad (Japan, prototype)  (Konami, 1989)
gatedoom          Gate of Doom (US revision 4)                                 (Data East Corporation, 1990)
