Unknown system 'jaleco_zoomspr'

"jaleco_zoomspr" approximately matches the following
supported machines (best match first):

formatz           Formation Z                                     (Jaleco, 1984)
soldam            Soldam                                          (Jaleco, 1992)
toprollr          Top Roller                                      (Jaleco, 1983)
sgt24h            Super GT 24h                                    (Jaleco, 1996)
wpksoc            World PK Soccer                                 (Jaleco, 1995)
j_lca             Lucky Casino (JPM) (SRU) (revision 8, lower %)  (JPM, 1981)
leboom            Le Boom                                         (Lakeside, 1980)
epo_mmsp          mini-moni Stage! Dance Dapyon! Plus (Japan)     (Epoch / SSD Company LTD, 2003)
looper            Looper                                          (Orca, 1982)
locomotp          Locomotion                                      (Zaccaria, 1981)
alcon             Alcon (US)                                      (Toaplan / Taito America Corp., 1986)
accommp           Acorn Communicator (prototype)                  (Acorn Computers, 1985)
epo_mms           mini-moni Stage! Dance Dapyon! (Japan)          (Epoch / SSD Company LTD, 2002)
falconz           Falcon (bootleg of Phoenix) (Z80 CPU)           (bootleg (Digimatic), 1980)
gamecom           Game.com                                        (Tiger, 1997)
j2loots           Loot Shoot (Pcp) (MPS)                          (Pcp, 198?)
