Unknown system 'ms1_tmap'

"ms1_tmap" approximately matches the following
supported machines (best match first):

mt_smgp           Super Monaco GP (Mega-Tech)                            (Sega, 1990)
mt_spman          Spider-Man vs The Kingpin (Mega-Tech)                  (Sega / Marvel, 1991)
mvstemp           MVS-TEMP 'SubSystem Ver1.4' (Nazca development board)  (Nazca, 1995?)
ms14              Multistar 14                                           (IGT, 1997)
m1mba             Monkey Business (Global) (M1A/B) (set 2)               (Global, 199?)
mtrap             Mouse Trap (version 5)                                 (Exidy, 1981)
as_tema           Temptation (Astra, V006)                               (Astra, 200?)
m1startrp         Star Trekking (Mdm) (M1A/B) (set 17)                   (Mdm, 199?)
mysticmp          Mystic Marathon (prototype)                            (Williams, 1983)
mschamp           Ms. Pacman Champion Edition / Zola-Puc Gal             (hack, 1992)
msimpac           Ms. Pac-Man (MSI Plug & Play)                          (MSI / Bandai Namco, 2016)
msha              Marvel Super Heroes (Asia 951024)                      (Capcom, 1995)
msm3              Micro-Sep Model 3                                      (ILCE / SEP, 1987)
m1lotmila         Lottery Millionaire Club (Maygay) (M1A/B) (set 2)      (Maygay, 199?)
m1triviap         Trivial Pursuit (Maygay) (M1A/B) (set 17)              (Maygay, 199?)
smtma6            Show Me The Money (10001911, NSW/ACT)                  (Aristocrat, 2001)
