Unknown system 'prophet5_cv2cc'

"prophet5_cv2cc" approximately matches the following
supported machines (best match first):

prophet2          Prophet 2                                          (Busicomputers, 1983)
prophecy          Prophecy (20173411, NSW/ACT)                       (Aristocrat, 2004)
prophet5rev30     Prophet 5 (Model 1000) Rev 3.0                     (Sequential Circuits, 1980)
propcycl          Prop Cycle (World, PR2 Ver.A)                      (Namco, 1996)
pr_heato          The Heat Is On (Project) (PROCONN)                 (Project, 199?)
pr_hotcs          Hot Cash (Project) (PROCONN)                       (Project, 199?)
pp                Pied Piper Communicator 1                          (STM Electronics, 1983)
ep_cor2c          Coronation Street 2 (Maygay) (EPOCH) (3.8, set 4)  (Maygay, 199?)
ep_tp2            Trivial Pursuit 2 (Maygay) (EPOCH) (2.2, set 1)    (Maygay, 199?)
europc2           EURO PC II                                         (Schneider Rdf. AG, 198?)
hoppech           Hoppe-chan SuiColle (white, Japan)                 (Takara Tomy, 201?)
propcyclj         Prop Cycle (Japan, PR1 Ver.A)                      (Namco, 1996)
pr_chico          Chico the Bandit (Project) (set 1) (PROCONN)       (Project, 199?)
pr_hotsp          Hot Spots (Project) (PROCONN)                      (Project, 199?)
tropchnc          Tropical Chance                                    (Konami, 1999)
popn5             Pop'n Music 5                                      (Konami, 2000)
