Unknown system 'segas32_pcb_multi'

"segas32_pcb_multi" approximately matches the following
supported machines (best match first):

segapm            Picture Magic                                                                                                                        (Sega, 1996)
segasp            Sega System SP (Spider) BIOS                                                                                                         (Sega, 2004)
segacd            Sega CD (USA, NTSC)                                                                                                                  (Sega, 1992)
svgpcb            S.V.G. - Spectral vs Generation / Sheng Mo Shiji (M68k label V100JP) (ARM label V100JP, ROM 05/12/05 S.V.G V100) (Japan, JAMMA PCB)  (IGS / Idea Factory (AMI license), 2005)
apc               APC                                                                                                                                  (NEC, 1982)
epc               Ericsson PC                                                                                                                          (Ericsson Information System, 1985)
ga2               Golden Axe: The Revenge of Death Adder (World, Rev B)                                                                                (Sega, 1992)
megapc            MegaPC                                                                                                                               (Amstrad plc, 1993)
gamt31mult        Gaminator 31 (bootleg, Multiloto)                                                                                                    (bootleg, 2002?)
megapcpl          MegaPC Plus                                                                                                                          (Amstrad plc, 199?)
sp_camel          Camelot (Ace) (sp.ACE) (set 1)                                                                                                       (Ace, 199?)
spcgambl          Space Gambler                                                                                                                        (Playmatic, 1978)
as_pb             Piggy Banking (Astra, V105)                                                                                                          (Astra, 200?)
sage2             Sage II                                                                                                                              (Sage Technology, 1982)
sp_beau2c         Further Adventures Of Beau Peep (Ace) (sp.ACE) (set 4)                                                                               (Ace, 199?)
sp_camelb         Camelot (Ace) (sp.ACE) (set 3)                                                                                                       (Ace, 199?)
