Unknown system 'toshiba_xm6402b_cdrom'

"toshiba_xm6402b_cdrom" approximately matches the following
supported machines (best match first):

tot3200sxc        T3200SXC                                                       (Toshiba, 199?)
am64              AM 64                                                          (ASEM, 1985)
sx64              SX-64 / Executive 64 (NTSC)                                    (Commodore Business Machines, 1984)
am4               Acorn M4                                                       (Acorn Computers, 1988)
sbm               Sonic Blast Man (US)                                           (Taito Corporation, 1990)
tm                Touchmaster (v3.00 Euro)                                       (Midway Games Inc. / CES Inc., 1996)
sams64            Samurai Shodown 64 / Samurai Spirits / Paewang Jeonseol 64     (SNK, 1997)
ts_lm6            The Shadow (LM-6) Mild                                         (Bally, 1994)
ts_lx4            The Shadow (LX-4)                                              (Bally, 1995)
t2000sx           T2000SX                                                        (Toshiba, 1991)
cbm4032b          CBM 4032B                                                      (Commodore Business Machines, 1980)
sb2m600b          Superboard II Model 600 (Rev. B)                               (Ohio Scientific, 1978)
shikgam2          Shikigami no Shiro II / The Castle of Shikigami II (GDL-0021)  (Alfa System, 2003)
sphinx40          Sphinx 40                                                      (Newcrest Technology / CXG Systems / Intelligent Chess Software, 1987)
topshta6          Top Shot (30123211, NSW/ACT)                                   (Aristocrat, 2002)
tosh1000          Toshiba T1000                                                  (Toshiba, 1987)
